Model,Augmentation,Accuracy,Macro_F1,Precision,Recall,Class_0_F1,Class_1_F1,Class_2_F1,Class_3_F1
hybrid_1,baseline,0.9437694549560547,0.9413749575614929,0.9399504661560059,0.9437694549560547,0.9154061675071716,0.9295478463172913,0.9479882121086121,0.9725576043128967
hybrid_1,snp_5%(default),0.972807765007019,0.9703552722930908,0.969978392124176,0.972807765007019,0.9443181753158569,0.9639546871185303,0.9764705896377563,0.9966777563095093
hybrid_1,patch_16x16_9,0.9075430631637573,0.9157238602638245,0.9325752258300781,0.9075430631637573,0.9043778777122498,0.904313325881958,0.893989086151123,0.9602150321006775
hybrid_1,gaussian_blur,0.9438831806182861,0.9432808756828308,0.9430748224258423,0.9438831806182861,0.9192478060722351,0.9397463202476501,0.9431704878807068,0.9709588885307312
hybrid_1,gaussian_noise_greyscale,0.9586609601974487,0.9554802775382996,0.9527418613433838,0.9586609601974487,0.9321662783622742,0.9469737410545349,0.9533073902130127,0.9894737005233765
hybrid_1,patch_16x16_18_snp_fillup,0.9142419099807739,0.9175729751586914,0.9290597438812256,0.9142419099807739,0.8874560594558716,0.8841903209686279,0.9315628409385681,0.9670828580856323
hybrid_1,grid_patch_16x16_4,0.9336475729942322,0.9339891672134399,0.9348430633544922,0.9336475729942322,0.9132117033004761,0.9322210550308228,0.9176706671714783,0.9728531837463379
hybrid_1,grid_patch_16x16_18_snp_fillup,0.9518672823905945,0.9538706541061401,0.9581383466720581,0.9518672823905945,0.9290540814399719,0.9412955641746521,0.950152575969696,0.9949804544448853
hybrid_1,grid_patch_16x16_9_snp_fillup,0.9584553837776184,0.9572848081588745,0.9580074548721313,0.9584553837776184,0.9319728016853333,0.953798770904541,0.9494549036026001,0.9939125776290894
hybrid_2,baseline,0.960150957107544,0.9567646980285645,0.9572315812110901,0.960150957107544,0.9235225915908813,0.9450660943984985,0.9678675532341003,0.9906025528907776
hybrid_2,snp_5%(default),0.9387636780738831,0.9368503093719482,0.9352846145629883,0.9387636780738831,0.9134986400604248,0.9337573051452637,0.9183874130249023,0.9817578792572021
hybrid_2,patch_16x16_9,0.9289823174476624,0.9235220551490784,0.9203013181686401,0.9289823174476624,0.906214714050293,0.9188608527183533,0.9111747741699219,0.9578378200531006
hybrid_2,gaussian_blur,0.9530346393585205,0.9521501064300537,0.9514173269271851,0.9530346393585205,0.9275993704795837,0.9514255523681641,0.9474727511405945,0.9821029305458069
hybrid_2,gaussian_noise_greyscale,0.9716479778289795,0.9680622816085815,0.9671341776847839,0.9716479778289795,0.9405714273452759,0.9624678492546082,0.9708737730979919,0.9983360767364502
hybrid_2,patch_16x16_18_snp_fillup,0.941884458065033,0.9365720748901367,0.9334404468536377,0.941884458065033,0.9086809754371643,0.9352051615715027,0.944337785243988,0.9580644965171814
hybrid_2,grid_patch_16x16_4,0.971457839012146,0.9689526557922363,0.9687594175338745,0.971457839012146,0.9418472051620483,0.9624678492546082,0.9764705896377563,0.9950248599052429
hybrid_2,grid_patch_16x16_18_snp_fillup,0.96720290184021,0.9636284708976746,0.9624384641647339,0.96720290184021,0.9407745003700256,0.9582259058952332,0.9621726274490356,0.9933407306671143
hybrid_2,grid_patch_16x16_9_snp_fillup,0.9517191648483276,0.9516056776046753,0.9515455961227417,0.9517191648483276,0.9248365759849548,0.9569835662841797,0.9340000152587891,0.9906025528907776
hybrid_3,baseline,0.9678665399551392,0.9638255834579468,0.9617407321929932,0.9678665399551392,0.9417091012001038,0.9568382501602173,0.966183602809906,0.9905712604522705
hybrid_3,snp_5%(default),0.9692906141281128,0.9659984111785889,0.9654017090797424,0.9692906141281128,0.9370709657669067,0.9609856009483337,0.9698150157928467,0.996121883392334
hybrid_3,patch_16x16_9,0.9746015667915344,0.9701913595199585,0.9678919315338135,0.9746015667915344,0.9496321678161621,0.9708939790725708,0.962463915348053,0.9977753162384033
hybrid_3,gaussian_blur,0.9227033853530884,0.922585666179657,0.9252523183822632,0.9227033853530884,0.8764302134513855,0.9013656973838806,0.9369369149208069,0.9756097793579102
hybrid_3,gaussian_noise_greyscale,0.9168954491615295,0.9193405508995056,0.9255599975585938,0.9168954491615295,0.8964326977729797,0.9023883938789368,0.9371781945228577,0.9413629174232483
hybrid_3,patch_16x16_18_snp_fillup,0.9607508778572083,0.9613398313522339,0.9626336097717285,0.9607508778572083,0.9346622228622437,0.9507516622543335,0.9688442349433899,0.9911012053489685
hybrid_3,grid_patch_16x16_4,0.9687894582748413,0.966153621673584,0.9660090208053589,0.9687894582748413,0.9378208518028259,0.9569672346115112,0.9726027250289917,0.9972237348556519
hybrid_3,grid_patch_16x16_18_snp_fillup,0.9496569633483887,0.9516271948814392,0.9553602933883667,0.9496569633483887,0.9296567440032959,0.9495884776115417,0.9458631277084351,0.9814004302024841
hybrid_3,grid_patch_16x16_9_snp_fillup,0.944060742855072,0.9416768550872803,0.9436073303222656,0.944060742855072,0.9144508838653564,0.9293233156204224,0.9442815184593201,0.9786517024040222
vit_1,baseline,0.9275436401367188,0.9299430847167969,0.9330424070358276,0.9275436401367188,0.9015942811965942,0.9140748381614685,0.9394871592521667,0.9646162390708923
vit_1,snp_5%(default),0.9302866458892822,0.9316267967224121,0.9336570501327515,0.9302866458892822,0.8935465812683105,0.9309978485107422,0.932790219783783,0.9691725373268127
vit_1,patch_16x16_9,0.9497702121734619,0.9447231292724609,0.9448992013931274,0.9497702121734619,0.9062133431434631,0.9335362911224365,0.9490874409675598,0.99005526304245
vit_1,gaussian_blur,0.9390389919281006,0.9343335032463074,0.9342606067657471,0.9390389919281006,0.8921453952789307,0.9309989809989929,0.9428848028182983,0.9713048338890076
vit_1,gaussian_noise_greyscale,0.8867647647857666,0.8781761527061462,0.8757152557373047,0.8867647647857666,0.8362573385238647,0.8676789402961731,0.8826290965080261,0.9261393547058105
vit_1,patch_16x16_18_snp_fillup,0.9551419019699097,0.9511915445327759,0.9518814086914062,0.9551419019699097,0.9083479046821594,0.9402229189872742,0.9611650705337524,0.9950303435325623
vit_1,grid_patch_16x16_4,0.9281995892524719,0.9210851788520813,0.9209535121917725,0.9281995892524719,0.8699284195899963,0.9324324131011963,0.9304099082946777,0.9515699744224548
vit_1,grid_patch_16x16_18_snp_fillup,0.9327466487884521,0.9327225685119629,0.9360677003860474,0.9327466487884521,0.9011494517326355,0.9209864139556885,0.9409409165382385,0.9678135514259338
vit_1,grid_patch_16x16_9_snp_fillup,0.9420648813247681,0.9359806776046753,0.9315991997718811,0.9420648813247681,0.9018952250480652,0.931696891784668,0.9335863590240479,0.9767441749572754
vit_2,baseline,0.9220885038375854,0.9167544841766357,0.914538562297821,0.9220885038375854,0.8774329423904419,0.894318163394928,0.9177820086479187,0.9774848818778992
vit_2,snp_5%(default),0.952613353729248,0.9478610754013062,0.948472797870636,0.952613353729248,0.9061033129692078,0.9403437972068787,0.9566056132316589,0.9883913993835449
vit_2,patch_16x16_9,0.9614169597625732,0.9573770761489868,0.9574795961380005,0.9614169597625732,0.91913902759552,0.954081654548645,0.968932032585144,0.9873557090759277
vit_2,gaussian_blur,0.9421461820602417,0.9379059076309204,0.9385849237442017,0.9421461820602417,0.8997101187705994,0.9227682948112488,0.9556840062141418,0.9734613299369812
vit_2,gaussian_noise_greyscale,0.8773930072784424,0.8656072020530701,0.8791333436965942,0.8773930072784424,0.7731420993804932,0.8325404524803162,0.8733944892883301,0.9833518266677856
vit_2,patch_16x16_18_snp_fillup,0.9138081073760986,0.9132908582687378,0.9204473495483398,0.9138081073760986,0.865188717842102,0.9074262380599976,0.9383215308189392,0.9422268867492676
vit_2,grid_patch_16x16_4,0.9443421959877014,0.9388315677642822,0.9359532594680786,0.9443421959877014,0.9046259522438049,0.9376636743545532,0.9349904656410217,0.9780461192131042
vit_2,grid_patch_16x16_18_snp_fillup,0.9054930806159973,0.9019100666046143,0.9004340171813965,0.9054930806159973,0.8852459192276001,0.8867313861846924,0.8947368264198303,0.9409260153770447
vit_2,grid_patch_16x16_9_snp_fillup,0.9176584482192993,0.9217424988746643,0.9280869960784912,0.9176584482192993,0.9092944860458374,0.8956611752510071,0.9123173356056213,0.9696969985961914
vit_3,baseline,0.8761876821517944,0.8704667091369629,0.8680365085601807,0.8761876821517944,0.8505240082740784,0.840742826461792,0.860710859298706,0.9298893213272095
vit_3,snp_5%(default),0.949070155620575,0.9461566209793091,0.945204496383667,0.949070155620575,0.914675772190094,0.9346473217010498,0.9501466155052185,0.9851566553115845
vit_3,patch_16x16_9,0.9287618398666382,0.9257497787475586,0.9265686273574829,0.9287618398666382,0.9002320170402527,0.9191662669181824,0.916179358959198,0.967421293258667
vit_3,gaussian_blur,0.9175441265106201,0.91041100025177,0.9166361093521118,0.9175441265106201,0.8298136591911316,0.8982800841331482,0.942307710647583,0.9712425470352173
vit_3,gaussian_noise_greyscale,0.9072557091712952,0.9082579016685486,0.9156138896942139,0.9072557091712952,0.863822340965271,0.889214277267456,0.9092742204666138,0.9707207083702087
vit_3,patch_16x16_18_snp_fillup,0.9256036877632141,0.9209483861923218,0.9214634895324707,0.9256036877632141,0.8738207817077637,0.9186949729919434,0.9329445958137512,0.9583333134651184
vit_3,grid_patch_16x16_4,0.939266562461853,0.9345012903213501,0.9315994381904602,0.939266562461853,0.9050847291946411,0.9279999732971191,0.9325626492500305,0.9723577499389648
vit_3,grid_patch_16x16_18_snp_fillup,0.9029315114021301,0.8967785239219666,0.9033486843109131,0.9029315114021301,0.8310558795928955,0.8864210247993469,0.9320388436317444,0.9375983476638794
vit_3,grid_patch_16x16_9_snp_fillup,0.9512239098548889,0.9506063461303711,0.9542059898376465,0.9512239098548889,0.9136232137680054,0.931328296661377,0.974103569984436,0.983370304107666
